bed,bath,sqft,price,price,is empty lot?,image,link
2.0,2.0,1100.0,2190000.0,2190000.0,False,https://photos.zillowstatic.com/p_a/IS2zb3aliruix61000000000.jpg,https://photos.zillowstatic.com/p_e/IS2zb3aliruix61000000000.jpg
3.0,5.0,4078.0,16300000.0,16300000.0,False,https://photos.zillowstatic.com/p_a/ISqd78m0dsjeon1000000000.jpg,https://photos.zillowstatic.com/p_e/ISqd78m0dsjeon1000000000.jpg
3.0,3.0,3800.0,3700000.0,3700000.0,False,https://photos.zillowstatic.com/p_a/ISuc5lv0r1pw0h0000000000.jpg,https://photos.zillowstatic.com/p_e/ISuc5lv0r1pw0h0000000000.jpg
None,None,89512.0,None,None,False,null,#
1.0,2.0,None,795000.0,795000.0,False,https://photos.zillowstatic.com/p_a/ISmykpzdvod9x51000000000.jpg,https://photos.zillowstatic.com/p_e/ISmykpzdvod9x51000000000.jpg
None,None,806.0,None,None,False,null,#
None,None,776.0,None,None,False,null,#
3.0,2.0,2500.0,2550000.0,2550000.0,False,https://photos.zillowstatic.com/p_a/ISukva7yl3sk9t0000000000.jpg,https://photos.zillowstatic.com/p_e/ISukva7yl3sk9t0000000000.jpg
3.0,3.0,2068.0,6710000.0,6710000.0,False,https://photos.zillowstatic.com/p_a/ISesipu5semntq0000000000.jpg,https://photos.zillowstatic.com/p_e/ISesipu5semntq0000000000.jpg
3.0,3.0,2238.0,2500000.0,2500000.0,False,https://photos.zillowstatic.com/p_a/ISah3bbzkigdx60000000000.jpg,https://photos.zillowstatic.com/p_e/ISah3bbzkigdx60000000000.jpg
1.0,1.0,1074.0,2980000.0,2980000.0,False,https://photos.zillowstatic.com/p_a/ISizafwat7yt5h0000000000.jpg,https://photos.zillowstatic.com/p_e/ISizafwat7yt5h0000000000.jpg
1.0,1.0,1067.0,2500000.0,2500000.0,False,https://photos.zillowstatic.com/p_a/ISew56a405x8kf0000000000.jpg,https://photos.zillowstatic.com/p_e/ISew56a405x8kf0000000000.jpg
2.0,3.0,1391.0,4300000.0,4300000.0,False,https://photos.zillowstatic.com/p_a/ISq5po0qsmaecd1000000000.jpg,https://photos.zillowstatic.com/p_e/ISq5po0qsmaecd1000000000.jpg
2.0,3.0,1391.0,3880000.0,3880000.0,False,https://photos.zillowstatic.com/p_a/ISuw4aeij7846b0000000000.jpg,https://photos.zillowstatic.com/p_e/ISuw4aeij7846b0000000000.jpg
2.0,3.0,1882.0,5910000.0,5910000.0,False,https://photos.zillowstatic.com/p_a/IS6ar58nyuuy811000000000.jpg,https://photos.zillowstatic.com/p_e/IS6ar58nyuuy811000000000.jpg
3.0,5.0,2588.0,5100000.0,5100000.0,False,https://photos.zillowstatic.com/p_a/ISq16z83wif0c20000000000.jpg,https://photos.zillowstatic.com/p_e/ISq16z83wif0c20000000000.jpg
0.0,1.0,542.0,915000.0,915000.0,False,https://photos.zillowstatic.com/p_a/IS5eavzpzssz240000000000.jpg,https://photos.zillowstatic.com/p_e/IS5eavzpzssz240000000000.jpg
0.0,1.0,560.0,915000.0,915000.0,False,https://photos.zillowstatic.com/p_a/ISi7t6offgu6o30000000000.jpg,https://photos.zillowstatic.com/p_e/ISi7t6offgu6o30000000000.jpg
1.0,1.0,501.0,899000.0,899000.0,False,https://photos.zillowstatic.com/p_a/ISekk1bhpwvanz0000000000.jpg,https://photos.zillowstatic.com/p_e/ISekk1bhpwvanz0000000000.jpg
2.0,3.0,2800.0,2900000.0,2900000.0,False,https://photos.zillowstatic.com/p_a/IS6qvz63cah44c1000000000.jpg,https://photos.zillowstatic.com/p_e/IS6qvz63cah44c1000000000.jpg
2.0,3.0,1437.0,3000000.0,3000000.0,False,https://photos.zillowstatic.com/p_a/ISi32bm2kb91fo1000000000.jpg,https://photos.zillowstatic.com/p_e/ISi32bm2kb91fo1000000000.jpg
1.0,2.0,982.0,2100000.0,2100000.0,False,https://photos.zillowstatic.com/p_a/ISmu5va9c282071000000000.jpg,https://photos.zillowstatic.com/p_e/ISmu5va9c282071000000000.jpg
1.0,2.0,806.0,1590000.0,1590000.0,False,https://photos.zillowstatic.com/p_a/ISifri2cj4s5xp1000000000.jpg,https://photos.zillowstatic.com/p_e/ISifri2cj4s5xp1000000000.jpg
2.0,3.0,1168.0,2690000.0,2690000.0,False,https://photos.zillowstatic.com/p_a/ISivzbnrr00n831000000000.jpg,https://photos.zillowstatic.com/p_e/ISivzbnrr00n831000000000.jpg
0.0,1.0,440.0,1070000.0,1070000.0,False,https://photos.zillowstatic.com/p_a/ISe44qeytaxse31000000000.jpg,https://photos.zillowstatic.com/p_e/ISe44qeytaxse31000000000.jpg
1.0,2.0,806.0,1700000.0,1700000.0,False,https://photos.zillowstatic.com/p_a/ISesmk1ryh6yui1000000000.jpg,https://photos.zillowstatic.com/p_e/ISesmk1ryh6yui1000000000.jpg
2.0,3.0,1437.0,3650000.0,3650000.0,False,https://photos.zillowstatic.com/p_a/IS17ab5kkhb8xw1000000000.jpg,https://photos.zillowstatic.com/p_e/IS17ab5kkhb8xw1000000000.jpg
